"name","handle","tweets","followers"
"Tammy Baldwin","tammybaldwin",5102,53548
"John Barrasso","SenJohnBarrasso",5809,150662
"Michael Bennet","SenatorBennet",6277,307707
"Marsha Blackburn","MarshaBlackburn",11171,315546
"Richard Blumenthal","SenBlumenthal",16159,712180
"Roy Blunt","RoyBlunt",14535,125103
"Cory Booker","CoryBooker",66936,4915450
"John Boozman","JohnBoozman",7399,101736
"Mike Braun","SenatorBraun",2306,30164
"Sherrod  Brown","SenSherrodBrown",8209,501641
"Richard Burr","SenatorBurr",3986,173693
"Maria Cantwell","SenatorCantwell",9622,256023
"Shelley Capito","SenCapito",11251,84763
"Ben Cardin","SenatorCardin",12038,255978
"Thomas Carper","SenatorCarper",10978,109824
"Bob Casey","SenBobCasey",12870,435102
"Bill Cassidy","SenBillCassidy",3877,40092
"Susan Collins","senatorcollins",4218,561040
"Christopher Coons","ChrisCoons",15827,201246
"John Cornyn","JohnCornyn",46115,305424
"Catherine Cortez Masto","CatherineForNV",2125,32014
"Tom Cotton","sentomcotton",10450,390136
"Kevin Cramer","SenKevinCramer",6908,29042
"Mike Crapo","MikeCrapo",8636,121965
"Ted Cruz","SenTedCruz",16954,2141198
"Steve Daines","SteveDaines",7393,69855
"Tammy Duckworth","SenDuckworth",9406,762944
"Richard Durbin","SenatorDurbin",19772,726373
"Joni Ernst","joniernst",3408,51764
"Dianne Feinstein","SenFeinstein",12159,1497760
"Deb Fischer","SenatorFischer",6991,99579
"Kirsten Gillibrand","SenGillibrand",20645,1609327
"Lindsey Graham","LindseyGrahamSC",12610,1972680
"Charles Grassley","ChuckGrassley",9920,643783
"Bill Hagerty","SenatorHagerty",1238,6820
"Maggie Hassan","Maggie_Hassan",2670,15698
"Josh Hawley","HawleyMO",5344,642137
"Martin Heinrich","MartinHeinrich",9447,205823
"John Hickenlooper","SenatorHick",449,21628
"Mazie Hirono","maziehirono",6900,504402
"John Hoeven","SenJohnHoeven",4500,114757
"Cindy Hyde-Smith","SenHydeSmith",2124,20429
"Jim Inhofe","jiminhofe",4136,82346
"Ron Johnson","SenRonJohnson",6556,247291
"Timothy Kaine","timkaine",11036,997246
"Mark Kelly","SenMarkKelly",267,97480
"John Kennedy","JohnKennedyLA",515,10698
"Angus King","SenAngusKing",5366,243569
"Amy Klobuchar","amyklobuchar",13643,1715014
"James Lankford","SenatorLankford",8723,108820
"Patrick Leahy","SenatorLeahy",17877,230396
"Mike Lee","SenMikeLee",6012,597285
"Ben Lujan","SenatorLujan",5496,31763
"Cynthia Lummis","SenLummis",2131,30450
"Joseph Manchin","Sen_JoeManchin",8502,269015
"Edward Markey","SenMarkey",17372,247204
"Roger Marshall","RogerMarshallMD",4828,19694
"Mitch McConnell","McConnellPress",15278,94710
"Robert Menendez","SenatorMenendez",15651,198470
"Jeff Merkley","SenJeffMerkley",13600,505817
"Jerry Moran","JerryMoran",6753,115625
"Lisa Murkowski","lisamurkowski",10990,319602
"Christopher Murphy","ChrisMurphyCT",25159,1036207
"Patty Murray","PattyMurray",20669,467959
"Jon Ossoff","SenOssoff",417,21474
"Alex Padilla","SenAlexPadilla",745,40907
"Rand Paul","RandPaul",14702,3204976
"Gary Peters","SenGaryPeters",8137,139250
"Rob Portman","robportman",6783,20003
"John Reed","SenJackReed",7075,106273
"James  Risch","SenatorRisch",2854,107798
"Mitt Romney","SenatorRomney",1284,199516
"Jacklyn Rosen","SenJackyRosen",8072,43039
"Mike Rounds","SenatorRounds",4505,31878
"Marco Rubio","marcorubio",14809,4188507
"Bernard Sanders","SenSanders",22402,12183830
"Ben Sasse","SenSasse",919,177105
"Brian Schatz","brianschatz",18473,381075
"Charles Schumer","SenSchumer",20798,3253836
"Rick Scott","SenRickScott",19284,349626
"Tim Scott","SenatorTimScott",9924,589563
"Jeanne Shaheen","SenatorShaheen",11863,119753
"Richard Shelby","SenShelby",2915,93324
"Kyrsten Sinema","kyrstensinema",17112,163656
"Tina Smith","SenTinaSmith",4168,86200
"Debbie Stabenow","SenStabenow",5806,135708
"Dan Sullivan","SenDanSullivan",3583,57958
"Jon Tester","SenatorTester",5910,112827
"John Thune","SenJohnThune",6799,111580
"Thomas Tillis","SenThomTillis",6012,119638
"Patrick Toomey","SenToomey",5366,164718
"Tommy Tuberville","SenTuberville",521,14619
"Chris Van Hollen","ChrisVanHollen",6242,189990
"Mark Warner","MarkWarner",11278,487716
"Raphael Warnock","SenatorWarnock",711,130527
"Elizabeth Warren","SenWarren",8255,6926457
"Sheldon Whitehouse","SenWhitehouse",16620,474466
"Roger Wicker","SenatorWicker",7844,102856
"Ron Wyden","RonWyden",11413,514263
"Todd Young","ToddYoungIN",6970,10823
